gauntlet: agent@engine vs agent@checkpoints/repfix | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +1 =0 -0   +1600 Elo +/- 0   3fold=0 (0%)   132s      mean=1.000 LLR=+0.00 [CONTINUE]
 210 games  +64 =96 -50   +23 Elo +/- 35   3fold=78 (37%)   2283s      mean=0.533 LLR=+0.50 [CONTINUE]
 211 games  +64 =96 -51   +21 Elo +/- 35   3fold=78 (37%)   2296s      mean=0.531 LLR=+0.45 [CONTINUE]
 212 games  +64 =97 -51   +21 Elo +/- 35   3fold=79 (37%)   2296s      mean=0.531 LLR=+0.45 [CONTINUE]
 213 games  +64 =98 -51   +21 Elo +/- 34   3fold=80 (38%)   2309s      mean=0.531 LLR=+0.45 [CONTINUE]
 214 games  +64 =98 -52   +20 Elo +/- 34   3fold=80 (37%)   2320s      mean=0.528 LLR=+0.41 [CONTINUE]
 215 games  +64 =98 -53   +18 Elo +/- 34   3fold=80 (37%)   2329s      mean=0.526 LLR=+0.36 [CONTINUE]
 216 games  +65 =98 -53   +19 Elo +/- 34   3fold=80 (37%)   2348s      mean=0.528 LLR=+0.40 [CONTINUE]
 217 games  +66 =98 -53   +21 Elo +/- 34   3fold=80 (37%)   2354s      mean=0.530 LLR=+0.44 [CONTINUE]
 218 games  +66 =98 -54   +19 Elo +/- 34   3fold=80 (37%)   2362s      mean=0.528 LLR=+0.40 [CONTINUE]
 219 games  +66 =98 -55   +17 Elo +/- 34   3fold=80 (37%)   2381s      mean=0.525 LLR=+0.35 [CONTINUE]
 220 games  +66 =98 -56   +16 Elo +/- 34   3fold=80 (36%)   2383s      mean=0.523 LLR=+0.31 [CONTINUE]
 221 games  +67 =98 -56   +17 Elo +/- 34   3fold=80 (36%)   2394s      mean=0.525 LLR=+0.35 [CONTINUE]
 222 games  +67 =99 -56   +17 Elo +/- 34   3fold=81 (36%)   2408s      mean=0.525 LLR=+0.35 [CONTINUE]
 223 games  +68 =99 -56   +19 Elo +/- 34   3fold=81 (36%)   2417s      mean=0.527 LLR=+0.39 [CONTINUE]
 224 games  +69 =99 -56   +20 Elo +/- 34   3fold=81 (36%)   2425s      mean=0.529 LLR=+0.43 [CONTINUE]
 225 games  +69 =100 -56   +20 Elo +/- 34   3fold=82 (36%)   2431s      mean=0.529 LLR=+0.43 [CONTINUE]
 226 games  +70 =100 -56   +22 Elo +/- 34   3fold=82 (36%)   2451s      mean=0.531 LLR=+0.47 [CONTINUE]
 227 games  +70 =100 -57   +20 Elo +/- 34   3fold=82 (36%)   2458s      mean=0.529 LLR=+0.43 [CONTINUE]
 228 games  +70 =101 -57   +20 Elo +/- 34   3fold=83 (36%)   2461s      mean=0.529 LLR=+0.43 [CONTINUE]
 229 games  +70 =101 -58   +18 Elo +/- 34   3fold=83 (36%)   2482s      mean=0.526 LLR=+0.39 [CONTINUE]
 230 games  +70 =102 -58   +18 Elo +/- 34   3fold=84 (37%)   2483s      mean=0.526 LLR=+0.39 [CONTINUE]
 231 games  +71 =102 -58   +20 Elo +/- 34   3fold=84 (36%)   2497s      mean=0.528 LLR=+0.43 [CONTINUE]
 232 games  +71 =102 -59   +18 Elo +/- 34   3fold=84 (36%)   2512s      mean=0.526 LLR=+0.39 [CONTINUE]
 233 games  +71 =103 -59   +18 Elo +/- 33   3fold=84 (36%)   2516s      mean=0.526 LLR=+0.39 [CONTINUE]
 234 games  +71 =104 -59   +18 Elo +/- 33   3fold=85 (36%)   2533s      mean=0.526 LLR=+0.39 [CONTINUE]
 235 games  +71 =105 -59   +18 Elo +/- 33   3fold=86 (37%)   2543s      mean=0.526 LLR=+0.39 [CONTINUE]
 236 games  +72 =105 -59   +19 Elo +/- 33   3fold=86 (36%)   2549s      mean=0.528 LLR=+0.43 [CONTINUE]
 237 games  +72 =105 -60   +18 Elo +/- 33   3fold=86 (36%)   2563s      mean=0.525 LLR=+0.39 [CONTINUE]
 238 games  +72 =106 -60   +18 Elo +/- 33   3fold=87 (37%)   2580s      mean=0.525 LLR=+0.39 [CONTINUE]
 239 games  +72 =107 -60   +17 Elo +/- 33   3fold=87 (36%)   2585s      mean=0.525 LLR=+0.39 [CONTINUE]
 240 games  +73 =107 -60   +19 Elo +/- 33   3fold=87 (36%)   2598s      mean=0.527 LLR=+0.43 [CONTINUE]
 241 games  +73 =107 -61   +17 Elo +/- 33   3fold=87 (36%)   2613s      mean=0.525 LLR=+0.38 [CONTINUE]
 242 games  +73 =108 -61   +17 Elo +/- 33   3fold=88 (36%)   2613s      mean=0.525 LLR=+0.38 [CONTINUE]
 243 games  +73 =108 -62   +16 Elo +/- 33   3fold=88 (36%)   2629s      mean=0.523 LLR=+0.34 [CONTINUE]
 244 games  +73 =109 -62   +16 Elo +/- 33   3fold=89 (36%)   2639s      mean=0.523 LLR=+0.34 [CONTINUE]
 245 games  +73 =110 -62   +16 Elo +/- 32   3fold=90 (37%)   2645s      mean=0.522 LLR=+0.34 [CONTINUE]
 246 games  +73 =111 -62   +16 Elo +/- 32   3fold=91 (37%)   2657s      mean=0.522 LLR=+0.34 [CONTINUE]
 247 games  +74 =111 -62   +17 Elo +/- 32   3fold=91 (37%)   2672s      mean=0.524 LLR=+0.38 [CONTINUE]
 248 games  +75 =111 -62   +18 Elo +/- 32   3fold=91 (37%)   2680s      mean=0.526 LLR=+0.42 [CONTINUE]
 249 games  +75 =112 -62   +18 Elo +/- 32   3fold=92 (37%)   2696s      mean=0.526 LLR=+0.43 [CONTINUE]
 250 games  +75 =113 -62   +18 Elo +/- 32   3fold=93 (37%)   2705s      mean=0.526 LLR=+0.43 [CONTINUE]
 251 games  +75 =114 -62   +18 Elo +/- 32   3fold=94 (37%)   2707s      mean=0.526 LLR=+0.43 [CONTINUE]
 252 games  +76 =114 -62   +19 Elo +/- 32   3fold=94 (37%)   2725s      mean=0.528 LLR=+0.47 [CONTINUE]
 253 games  +77 =114 -62   +21 Elo +/- 32   3fold=94 (37%)   2734s      mean=0.530 LLR=+0.51 [CONTINUE]
 254 games  +78 =114 -62   +22 Elo +/- 32   3fold=94 (37%)   2736s      mean=0.531 LLR=+0.55 [CONTINUE]
 255 games  +79 =114 -62   +23 Elo +/- 32   3fold=94 (37%)   2761s      mean=0.533 LLR=+0.59 [CONTINUE]
 256 games  +79 =114 -63   +22 Elo +/- 32   3fold=94 (37%)   2764s      mean=0.531 LLR=+0.55 [CONTINUE]
 257 games  +79 =115 -63   +22 Elo +/- 32   3fold=95 (37%)   2765s      mean=0.531 LLR=+0.55 [CONTINUE]
 258 games  +79 =116 -63   +22 Elo +/- 32   3fold=96 (37%)   2786s      mean=0.531 LLR=+0.55 [CONTINUE]
 259 games  +80 =116 -63   +23 Elo +/- 32   3fold=96 (37%)   2794s      mean=0.533 LLR=+0.59 [CONTINUE]
 260 games  +80 =117 -63   +23 Elo +/- 31   3fold=96 (37%)   2807s      mean=0.533 LLR=+0.59 [CONTINUE]
 261 games  +80 =117 -64   +21 Elo +/- 31   3fold=96 (37%)   2818s      mean=0.531 LLR=+0.55 [CONTINUE]
 262 games  +80 =118 -64   +21 Elo +/- 31   3fold=97 (37%)   2825s      mean=0.531 LLR=+0.55 [CONTINUE]
 263 games  +80 =118 -65   +20 Elo +/- 31   3fold=97 (37%)   2839s      mean=0.529 LLR=+0.50 [CONTINUE]
 264 games  +80 =118 -66   +18 Elo +/- 31   3fold=97 (37%)   2852s      mean=0.527 LLR=+0.46 [CONTINUE]
 265 games  +80 =118 -67   +17 Elo +/- 31   3fold=97 (37%)   2854s      mean=0.525 LLR=+0.41 [CONTINUE]
 266 games  +80 =119 -67   +17 Elo +/- 31   3fold=98 (37%)   2864s      mean=0.524 LLR=+0.42 [CONTINUE]
 267 games  +80 =120 -67   +17 Elo +/- 31   3fold=99 (37%)   2879s      mean=0.524 LLR=+0.42 [CONTINUE]
 268 games  +81 =120 -67   +18 Elo +/- 31   3fold=99 (37%)   2883s      mean=0.526 LLR=+0.46 [CONTINUE]
 269 games  +81 =120 -68   +17 Elo +/- 31   3fold=99 (37%)   2894s      mean=0.524 LLR=+0.41 [CONTINUE]
 270 games  +81 =121 -68   +17 Elo +/- 31   3fold=100 (37%)   2906s      mean=0.524 LLR=+0.41 [CONTINUE]
 271 games  +81 =122 -68   +17 Elo +/- 31   3fold=101 (37%)   2915s      mean=0.524 LLR=+0.42 [CONTINUE]
 272 games  +81 =122 -69   +15 Elo +/- 31   3fold=101 (37%)   2930s      mean=0.522 LLR=+0.37 [CONTINUE]
 273 games  +81 =123 -69   +15 Elo +/- 31   3fold=102 (37%)   2933s      mean=0.522 LLR=+0.37 [CONTINUE]
 274 games  +82 =123 -69   +16 Elo +/- 31   3fold=102 (37%)   2943s      mean=0.524 LLR=+0.41 [CONTINUE]
 275 games  +82 =123 -70   +15 Elo +/- 31   3fold=102 (37%)   2965s      mean=0.522 LLR=+0.37 [CONTINUE]
 276 games  +82 =124 -70   +15 Elo +/- 31   3fold=103 (37%)   2967s      mean=0.522 LLR=+0.37 [CONTINUE]
 277 games  +82 =125 -70   +15 Elo +/- 30   3fold=103 (37%)   2970s      mean=0.522 LLR=+0.37 [CONTINUE]
 278 games  +82 =126 -70   +15 Elo +/- 30   3fold=104 (37%)   2995s      mean=0.522 LLR=+0.37 [CONTINUE]
 279 games  +82 =127 -70   +15 Elo +/- 30   3fold=104 (37%)   3000s      mean=0.522 LLR=+0.37 [CONTINUE]
 280 games  +83 =127 -70   +16 Elo +/- 30   3fold=104 (37%)   3009s      mean=0.523 LLR=+0.41 [CONTINUE]
 281 games  +83 =127 -71   +15 Elo +/- 30   3fold=104 (37%)   3028s      mean=0.521 LLR=+0.37 [CONTINUE]
 282 games  +83 =127 -72   +14 Elo +/- 30   3fold=104 (37%)   3029s      mean=0.520 LLR=+0.33 [CONTINUE]
 283 games  +83 =128 -72   +14 Elo +/- 30   3fold=105 (37%)   3033s      mean=0.519 LLR=+0.33 [CONTINUE]
 284 games  +83 =129 -72   +13 Elo +/- 30   3fold=106 (37%)   3060s      mean=0.519 LLR=+0.33 [CONTINUE]
 285 games  +84 =129 -72   +15 Elo +/- 30   3fold=106 (37%)   3060s      mean=0.521 LLR=+0.37 [CONTINUE]
 286 games  +84 =129 -73   +13 Elo +/- 30   3fold=106 (37%)   3063s      mean=0.519 LLR=+0.32 [CONTINUE]
 287 games  +84 =130 -73   +13 Elo +/- 30   3fold=107 (37%)   3089s      mean=0.519 LLR=+0.32 [CONTINUE]
 288 games  +84 =131 -73   +13 Elo +/- 30   3fold=107 (37%)   3091s      mean=0.519 LLR=+0.33 [CONTINUE]
 289 games  +84 =132 -73   +13 Elo +/- 30   3fold=108 (37%)   3104s      mean=0.519 LLR=+0.33 [CONTINUE]
 290 games  +85 =132 -73   +14 Elo +/- 30   3fold=108 (37%)   3116s      mean=0.521 LLR=+0.37 [CONTINUE]
 291 games  +85 =132 -74   +13 Elo +/- 30   3fold=108 (37%)   3123s      mean=0.519 LLR=+0.32 [CONTINUE]
 292 games  +86 =132 -74   +14 Elo +/- 30   3fold=108 (37%)   3137s      mean=0.521 LLR=+0.36 [CONTINUE]
 293 games  +87 =132 -74   +15 Elo +/- 30   3fold=108 (37%)   3148s      mean=0.522 LLR=+0.40 [CONTINUE]
 294 games  +87 =132 -75   +14 Elo +/- 30   3fold=108 (37%)   3152s      mean=0.520 LLR=+0.36 [CONTINUE]
 295 games  +87 =133 -75   +14 Elo +/- 29   3fold=109 (37%)   3164s      mean=0.520 LLR=+0.36 [CONTINUE]
 296 games  +87 =133 -76   +13 Elo +/- 29   3fold=109 (37%)   3184s      mean=0.519 LLR=+0.32 [CONTINUE]
 297 games  +88 =133 -76   +14 Elo +/- 29   3fold=109 (37%)   3185s      mean=0.520 LLR=+0.36 [CONTINUE]
 298 games  +88 =134 -76   +14 Elo +/- 29   3fold=110 (37%)   3187s      mean=0.520 LLR=+0.36 [CONTINUE]
 299 games  +88 =134 -77   +13 Elo +/- 29   3fold=110 (37%)   3212s      mean=0.518 LLR=+0.32 [CONTINUE]
 300 games  +88 =135 -77   +13 Elo +/- 29   3fold=111 (37%)   3215s      mean=0.518 LLR=+0.32 [CONTINUE]
 301 games  +88 =136 -77   +13 Elo +/- 29   3fold=111 (37%)   3224s      mean=0.518 LLR=+0.32 [CONTINUE]
 302 games  +88 =137 -77   +13 Elo +/- 29   3fold=112 (37%)   3235s      mean=0.518 LLR=+0.32 [CONTINUE]
 303 games  +89 =137 -77   +14 Elo +/- 29   3fold=112 (37%)   3243s      mean=0.520 LLR=+0.36 [CONTINUE]
 304 games  +89 =137 -78   +13 Elo +/- 29   3fold=112 (37%)   3256s      mean=0.518 LLR=+0.32 [CONTINUE]
 305 games  +89 =137 -79   +11 Elo +/- 29   3fold=112 (37%)   3268s      mean=0.516 LLR=+0.27 [CONTINUE]
 306 games  +89 =137 -80   +10 Elo +/- 29   3fold=112 (37%)   3273s      mean=0.515 LLR=+0.23 [CONTINUE]
 307 games  +89 =138 -80   +10 Elo +/- 29   3fold=113 (37%)   3281s      mean=0.515 LLR=+0.23 [CONTINUE]
 308 games  +90 =138 -80   +11 Elo +/- 29   3fold=113 (37%)   3298s      mean=0.516 LLR=+0.27 [CONTINUE]
 309 games  +90 =138 -81   +10 Elo +/- 29   3fold=113 (37%)   3301s      mean=0.515 LLR=+0.23 [CONTINUE]
 310 games  +90 =139 -81   +10 Elo +/- 29   3fold=114 (37%)   3308s      mean=0.515 LLR=+0.23 [CONTINUE]
 311 games  +90 =139 -82   +9 Elo +/- 29   3fold=114 (37%)   3327s      mean=0.513 LLR=+0.18 [CONTINUE]
 312 games  +90 =139 -83   +8 Elo +/- 29   3fold=114 (37%)   3331s      mean=0.511 LLR=+0.14 [CONTINUE]
 313 games  +91 =139 -83   +9 Elo +/- 29   3fold=114 (36%)   3336s      mean=0.513 LLR=+0.18 [CONTINUE]
 314 games  +91 =140 -83   +9 Elo +/- 29   3fold=115 (37%)   3349s      mean=0.513 LLR=+0.18 [CONTINUE]
 315 games  +91 =141 -83   +9 Elo +/- 29   3fold=116 (37%)   3357s      mean=0.513 LLR=+0.18 [CONTINUE]
 316 games  +92 =141 -83   +10 Elo +/- 29   3fold=116 (37%)   3362s      mean=0.514 LLR=+0.22 [CONTINUE]
 317 games  +93 =141 -83   +11 Elo +/- 29   3fold=116 (37%)   3382s      mean=0.516 LLR=+0.26 [CONTINUE]
 318 games  +94 =141 -83   +12 Elo +/- 29   3fold=116 (36%)   3391s      mean=0.517 LLR=+0.30 [CONTINUE]
 319 games  +94 =141 -84   +11 Elo +/- 29   3fold=116 (36%)   3393s      mean=0.516 LLR=+0.26 [CONTINUE]
 320 games  +95 =141 -84   +12 Elo +/- 29   3fold=116 (36%)   3412s      mean=0.517 LLR=+0.30 [CONTINUE]
 321 games  +95 =142 -84   +12 Elo +/- 28   3fold=117 (36%)   3428s      mean=0.517 LLR=+0.30 [CONTINUE]
 322 games  +95 =143 -84   +12 Elo +/- 28   3fold=117 (36%)   3433s      mean=0.517 LLR=+0.30 [CONTINUE]
 323 games  +95 =143 -85   +11 Elo +/- 28   3fold=117 (36%)   3441s      mean=0.515 LLR=+0.26 [CONTINUE]
 324 games  +95 =143 -86   +10 Elo +/- 28   3fold=117 (36%)   3456s      mean=0.514 LLR=+0.22 [CONTINUE]
 325 games  +95 =144 -86   +10 Elo +/- 28   3fold=118 (36%)   3457s      mean=0.514 LLR=+0.22 [CONTINUE]
 326 games  +95 =145 -86   +10 Elo +/- 28   3fold=119 (37%)   3476s      mean=0.514 LLR=+0.22 [CONTINUE]
 327 games  +95 =146 -86   +10 Elo +/- 28   3fold=120 (37%)   3485s      mean=0.514 LLR=+0.22 [CONTINUE]
 328 games  +96 =146 -86   +11 Elo +/- 28   3fold=120 (37%)   3487s      mean=0.515 LLR=+0.26 [CONTINUE]
 329 games  +96 =147 -86   +11 Elo +/- 28   3fold=121 (37%)   3503s      mean=0.515 LLR=+0.26 [CONTINUE]
 330 games  +96 =148 -86   +11 Elo +/- 28   3fold=122 (37%)   3509s      mean=0.515 LLR=+0.26 [CONTINUE]
 331 games  +97 =148 -86   +12 Elo +/- 28   3fold=122 (37%)   3530s      mean=0.517 LLR=+0.30 [CONTINUE]
 332 games  +97 =149 -86   +12 Elo +/- 28   3fold=123 (37%)   3537s      mean=0.517 LLR=+0.30 [CONTINUE]
 333 games  +98 =149 -86   +13 Elo +/- 28   3fold=123 (37%)   3537s      mean=0.518 LLR=+0.34 [CONTINUE]
 334 games  +98 =150 -86   +12 Elo +/- 28   3fold=124 (37%)   3561s      mean=0.518 LLR=+0.34 [CONTINUE]
 335 games  +98 =150 -87   +11 Elo +/- 28   3fold=124 (37%)   3569s      mean=0.516 LLR=+0.30 [CONTINUE]
 336 games  +98 =151 -87   +11 Elo +/- 28   3fold=125 (37%)   3574s      mean=0.516 LLR=+0.30 [CONTINUE]
 337 games  +98 =152 -87   +11 Elo +/- 28   3fold=126 (37%)   3595s      mean=0.516 LLR=+0.30 [CONTINUE]
 338 games  +98 =153 -87   +11 Elo +/- 27   3fold=127 (38%)   3600s      mean=0.516 LLR=+0.30 [CONTINUE]
 339 games  +98 =154 -87   +11 Elo +/- 27   3fold=128 (38%)   3601s      mean=0.516 LLR=+0.30 [CONTINUE]
 340 games  +98 =154 -88   +10 Elo +/- 27   3fold=128 (38%)   3628s      mean=0.515 LLR=+0.26 [CONTINUE]
 341 games  +98 =155 -88   +10 Elo +/- 27   3fold=129 (38%)   3629s      mean=0.515 LLR=+0.26 [CONTINUE]
 342 games  +98 =155 -89   +9 Elo +/- 27   3fold=129 (38%)   3629s      mean=0.513 LLR=+0.21 [CONTINUE]
 343 games  +98 =156 -89   +9 Elo +/- 27   3fold=130 (38%)   3658s      mean=0.513 LLR=+0.21 [CONTINUE]
 344 games  +99 =156 -89   +10 Elo +/- 27   3fold=130 (38%)   3666s      mean=0.515 LLR=+0.25 [CONTINUE]
 345 games  +100 =156 -89   +11 Elo +/- 27   3fold=130 (38%)   3668s      mean=0.516 LLR=+0.30 [CONTINUE]
 346 games  +100 =157 -89   +11 Elo +/- 27   3fold=131 (38%)   3688s      mean=0.516 LLR=+0.30 [CONTINUE]
 347 games  +100 =158 -89   +11 Elo +/- 27   3fold=132 (38%)   3690s      mean=0.516 LLR=+0.30 [CONTINUE]
 348 games  +100 =159 -89   +11 Elo +/- 27   3fold=133 (38%)   3698s      mean=0.516 LLR=+0.30 [CONTINUE]
 349 games  +100 =160 -89   +11 Elo +/- 27   3fold=134 (38%)   3716s      mean=0.516 LLR=+0.30 [CONTINUE]
 350 games  +100 =161 -89   +11 Elo +/- 27   3fold=135 (39%)   3719s      mean=0.516 LLR=+0.30 [CONTINUE]
 351 games  +100 =162 -89   +11 Elo +/- 27   3fold=135 (38%)   3727s      mean=0.516 LLR=+0.30 [CONTINUE]
 352 games  +100 =162 -90   +10 Elo +/- 27   3fold=135 (38%)   3744s      mean=0.514 LLR=+0.25 [CONTINUE]
 353 games  +100 =163 -90   +10 Elo +/- 27   3fold=136 (39%)   3753s      mean=0.514 LLR=+0.25 [CONTINUE]
 354 games  +100 =164 -90   +10 Elo +/- 27   3fold=137 (39%)   3756s      mean=0.514 LLR=+0.25 [CONTINUE]
 355 games  +100 =165 -90   +10 Elo +/- 26   3fold=138 (39%)   3768s      mean=0.514 LLR=+0.25 [CONTINUE]
 356 games  +100 =165 -91   +9 Elo +/- 26   3fold=138 (39%)   3782s      mean=0.513 LLR=+0.21 [CONTINUE]
 357 games  +101 =165 -91   +10 Elo +/- 26   3fold=138 (39%)   3785s      mean=0.514 LLR=+0.25 [CONTINUE]
 358 games  +101 =166 -91   +10 Elo +/- 26   3fold=139 (39%)   3802s      mean=0.514 LLR=+0.25 [CONTINUE]
 359 games  +101 =167 -91   +10 Elo +/- 26   3fold=140 (39%)   3807s      mean=0.514 LLR=+0.25 [CONTINUE]
 360 games  +101 =168 -91   +10 Elo +/- 26   3fold=141 (39%)   3821s      mean=0.514 LLR=+0.25 [CONTINUE]
 361 games  +101 =169 -91   +10 Elo +/- 26   3fold=142 (39%)   3826s      mean=0.514 LLR=+0.25 [CONTINUE]
 362 games  +102 =169 -91   +11 Elo +/- 26   3fold=142 (39%)   3837s      mean=0.515 LLR=+0.30 [CONTINUE]
 363 games  +102 =169 -92   +10 Elo +/- 26   3fold=142 (39%)   3853s      mean=0.514 LLR=+0.25 [CONTINUE]
 364 games  +102 =170 -92   +10 Elo +/- 26   3fold=143 (39%)   3859s      mean=0.514 LLR=+0.25 [CONTINUE]
 365 games  +103 =170 -92   +10 Elo +/- 26   3fold=143 (39%)   3866s      mean=0.515 LLR=+0.29 [CONTINUE]
 366 games  +103 =171 -92   +10 Elo +/- 26   3fold=144 (39%)   3875s      mean=0.515 LLR=+0.29 [CONTINUE]
 367 games  +103 =172 -92   +10 Elo +/- 26   3fold=145 (40%)   3896s      mean=0.515 LLR=+0.29 [CONTINUE]
 368 games  +103 =172 -93   +9 Elo +/- 26   3fold=145 (39%)   3897s      mean=0.514 LLR=+0.25 [CONTINUE]
 369 games  +103 =172 -94   +8 Elo +/- 26   3fold=145 (39%)   3903s      mean=0.512 LLR=+0.21 [CONTINUE]
 370 games  +103 =173 -94   +8 Elo +/- 26   3fold=146 (39%)   3921s      mean=0.512 LLR=+0.21 [CONTINUE]
 371 games  +103 =174 -94   +8 Elo +/- 26   3fold=147 (40%)   3930s      mean=0.512 LLR=+0.21 [CONTINUE]
 372 games  +104 =174 -94   +9 Elo +/- 26   3fold=147 (40%)   3932s      mean=0.513 LLR=+0.25 [CONTINUE]
 373 games  +104 =175 -94   +9 Elo +/- 26   3fold=148 (40%)   3943s      mean=0.513 LLR=+0.25 [CONTINUE]
 374 games  +104 =176 -94   +9 Elo +/- 26   3fold=149 (40%)   3959s      mean=0.513 LLR=+0.25 [CONTINUE]
 375 games  +105 =176 -94   +10 Elo +/- 26   3fold=149 (40%)   3967s      mean=0.515 LLR=+0.29 [CONTINUE]
 376 games  +106 =176 -94   +11 Elo +/- 26   3fold=149 (40%)   3976s      mean=0.516 LLR=+0.33 [CONTINUE]
 377 games  +106 =177 -94   +11 Elo +/- 26   3fold=150 (40%)   3979s      mean=0.516 LLR=+0.33 [CONTINUE]
 378 games  +106 =178 -94   +11 Elo +/- 26   3fold=151 (40%)   3991s      mean=0.516 LLR=+0.33 [CONTINUE]
 379 games  +106 =178 -95   +10 Elo +/- 26   3fold=151 (40%)   4004s      mean=0.515 LLR=+0.29 [CONTINUE]
 380 games  +106 =179 -95   +10 Elo +/- 25   3fold=151 (40%)   4008s      mean=0.514 LLR=+0.29 [CONTINUE]
 381 games  +106 =180 -95   +10 Elo +/- 25   3fold=151 (40%)   4021s      mean=0.514 LLR=+0.29 [CONTINUE]
 382 games  +106 =181 -95   +10 Elo +/- 25   3fold=151 (40%)   4036s      mean=0.514 LLR=+0.29 [CONTINUE]
 383 games  +106 =182 -95   +10 Elo +/- 25   3fold=152 (40%)   4038s      mean=0.514 LLR=+0.29 [CONTINUE]
 384 games  +106 =183 -95   +10 Elo +/- 25   3fold=153 (40%)   4046s      mean=0.514 LLR=+0.29 [CONTINUE]
 385 games  +106 =184 -95   +10 Elo +/- 25   3fold=154 (40%)   4062s      mean=0.514 LLR=+0.29 [CONTINUE]
 386 games  +106 =185 -95   +10 Elo +/- 25   3fold=155 (40%)   4069s      mean=0.514 LLR=+0.29 [CONTINUE]
 387 games  +106 =186 -95   +10 Elo +/- 25   3fold=156 (40%)   4071s      mean=0.514 LLR=+0.29 [CONTINUE]
 388 games  +106 =186 -96   +9 Elo +/- 25   3fold=156 (40%)   4090s      mean=0.513 LLR=+0.25 [CONTINUE]
 389 games  +107 =186 -96   +10 Elo +/- 25   3fold=156 (40%)   4098s      mean=0.514 LLR=+0.29 [CONTINUE]
 390 games  +108 =186 -96   +11 Elo +/- 25   3fold=156 (40%)   4103s      mean=0.515 LLR=+0.33 [CONTINUE]
 391 games  +109 =186 -96   +12 Elo +/- 25   3fold=156 (40%)   4121s      mean=0.517 LLR=+0.37 [CONTINUE]
 392 games  +110 =186 -96   +12 Elo +/- 25   3fold=156 (40%)   4125s      mean=0.518 LLR=+0.42 [CONTINUE]
 393 games  +111 =186 -96   +13 Elo +/- 25   3fold=156 (40%)   4134s      mean=0.519 LLR=+0.46 [CONTINUE]
 394 games  +111 =187 -96   +13 Elo +/- 25   3fold=157 (40%)   4147s      mean=0.519 LLR=+0.46 [CONTINUE]
 395 games  +111 =188 -96   +13 Elo +/- 25   3fold=158 (40%)   4152s      mean=0.519 LLR=+0.46 [CONTINUE]
 396 games  +111 =189 -96   +13 Elo +/- 25   3fold=159 (40%)   4163s      mean=0.519 LLR=+0.46 [CONTINUE]
 397 games  +112 =189 -96   +14 Elo +/- 25   3fold=159 (40%)   4176s      mean=0.520 LLR=+0.50 [CONTINUE]
 398 games  +112 =189 -97   +13 Elo +/- 25   3fold=159 (40%)   4176s      mean=0.519 LLR=+0.46 [CONTINUE]
 399 games  +113 =189 -97   +14 Elo +/- 25   3fold=159 (40%)   4194s      mean=0.520 LLR=+0.50 [CONTINUE]
 400 games  +113 =190 -97   +14 Elo +/- 25   3fold=160 (40%)   4203s      mean=0.520 LLR=+0.50 [CONTINUE]
 401 games  +114 =190 -97   +15 Elo +/- 25   3fold=160 (40%)   4212s      mean=0.521 LLR=+0.54 [CONTINUE]
 402 games  +114 =191 -97   +15 Elo +/- 25   3fold=161 (40%)   4227s      mean=0.521 LLR=+0.54 [CONTINUE]
 403 games  +115 =191 -97   +16 Elo +/- 25   3fold=161 (40%)   4229s      mean=0.522 LLR=+0.59 [CONTINUE]
 404 games  +115 =192 -97   +15 Elo +/- 25   3fold=162 (40%)   4241s      mean=0.522 LLR=+0.59 [CONTINUE]
 405 games  +115 =192 -98   +15 Elo +/- 25   3fold=162 (40%)   4258s      mean=0.521 LLR=+0.54 [CONTINUE]
 406 games  +116 =192 -98   +15 Elo +/- 25   3fold=162 (40%)   4260s      mean=0.522 LLR=+0.58 [CONTINUE]
 407 games  +117 =192 -98   +16 Elo +/- 25   3fold=162 (40%)   4269s      mean=0.523 LLR=+0.63 [CONTINUE]
 408 games  +117 =192 -99   +15 Elo +/- 25   3fold=162 (40%)   4290s      mean=0.522 LLR=+0.58 [CONTINUE]
 409 games  +118 =192 -99   +16 Elo +/- 25   3fold=162 (40%)   4292s      mean=0.523 LLR=+0.62 [CONTINUE]
 410 games  +118 =193 -99   +16 Elo +/- 25   3fold=162 (40%)   4300s      mean=0.523 LLR=+0.62 [CONTINUE]
 411 games  +119 =193 -99   +17 Elo +/- 25   3fold=162 (39%)   4322s      mean=0.524 LLR=+0.67 [CONTINUE]
 412 games  +119 =194 -99   +17 Elo +/- 24   3fold=163 (40%)   4323s      mean=0.524 LLR=+0.67 [CONTINUE]
 413 games  +119 =195 -99   +17 Elo +/- 24   3fold=163 (39%)   4327s      mean=0.524 LLR=+0.67 [CONTINUE]
 414 games  +119 =196 -99   +17 Elo +/- 24   3fold=164 (40%)   4348s      mean=0.524 LLR=+0.67 [CONTINUE]
 415 games  +120 =196 -99   +18 Elo +/- 24   3fold=164 (40%)   4358s      mean=0.525 LLR=+0.71 [CONTINUE]
 416 games  +121 =196 -99   +18 Elo +/- 24   3fold=164 (39%)   4361s      mean=0.526 LLR=+0.75 [CONTINUE]
 417 games  +121 =197 -99   +18 Elo +/- 24   3fold=165 (40%)   4383s      mean=0.526 LLR=+0.75 [CONTINUE]
 418 games  +121 =198 -99   +18 Elo +/- 24   3fold=166 (40%)   4384s      mean=0.526 LLR=+0.76 [CONTINUE]
