gauntlet: agent@engine vs agent@checkpoints/v1 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   128s      mean=0.500 LLR=+0.00 [CONTINUE]
 253 games  +31 =188 -34   -4 Elo +/- 22   2427s      mean=0.494 LLR=-0.53 [CONTINUE]
 254 games  +31 =189 -34   -4 Elo +/- 22   2446s      mean=0.494 LLR=-0.53 [CONTINUE]
 255 games  +32 =189 -34   -3 Elo +/- 22   2457s      mean=0.496 LLR=-0.44 [CONTINUE]
 256 games  +32 =189 -35   -4 Elo +/- 22   2459s      mean=0.494 LLR=-0.52 [CONTINUE]
 257 games  +32 =190 -35   -4 Elo +/- 22   2475s      mean=0.494 LLR=-0.53 [CONTINUE]
 258 games  +33 =190 -35   -3 Elo +/- 22   2485s      mean=0.496 LLR=-0.43 [CONTINUE]
 259 games  +33 =191 -35   -3 Elo +/- 22   2488s      mean=0.496 LLR=-0.44 [CONTINUE]
 260 games  +33 =192 -35   -3 Elo +/- 22   2498s      mean=0.496 LLR=-0.44 [CONTINUE]
 261 games  +33 =192 -36   -4 Elo +/- 22   2508s      mean=0.494 LLR=-0.52 [CONTINUE]
 262 games  +33 =193 -36   -4 Elo +/- 22   2516s      mean=0.494 LLR=-0.53 [CONTINUE]
 263 games  +33 =194 -36   -4 Elo +/- 22   2526s      mean=0.494 LLR=-0.53 [CONTINUE]
 264 games  +33 =195 -36   -4 Elo +/- 21   2534s      mean=0.494 LLR=-0.53 [CONTINUE]
 265 games  +33 =196 -36   -4 Elo +/- 21   2547s      mean=0.494 LLR=-0.54 [CONTINUE]
 266 games  +33 =197 -36   -4 Elo +/- 21   2555s      mean=0.494 LLR=-0.54 [CONTINUE]
 267 games  +33 =197 -37   -5 Elo +/- 21   2563s      mean=0.493 LLR=-0.62 [CONTINUE]
 268 games  +33 =198 -37   -5 Elo +/- 21   2574s      mean=0.493 LLR=-0.63 [CONTINUE]
 269 games  +34 =198 -37   -4 Elo +/- 21   2588s      mean=0.494 LLR=-0.53 [CONTINUE]
 270 games  +34 =199 -37   -4 Elo +/- 21   2589s      mean=0.494 LLR=-0.53 [CONTINUE]
 271 games  +34 =200 -37   -4 Elo +/- 21   2599s      mean=0.494 LLR=-0.54 [CONTINUE]
 272 games  +34 =201 -37   -4 Elo +/- 21   2615s      mean=0.494 LLR=-0.54 [CONTINUE]
 273 games  +34 =202 -37   -4 Elo +/- 21   2618s      mean=0.495 LLR=-0.54 [CONTINUE]
 274 games  +34 =202 -38   -5 Elo +/- 21   2629s      mean=0.493 LLR=-0.63 [CONTINUE]
 275 games  +34 =203 -38   -5 Elo +/- 21   2634s      mean=0.493 LLR=-0.63 [CONTINUE]
 276 games  +34 =203 -39   -6 Elo +/- 21   2649s      mean=0.491 LLR=-0.71 [CONTINUE]
 277 games  +34 =204 -39   -6 Elo +/- 21   2653s      mean=0.491 LLR=-0.72 [CONTINUE]
 278 games  +34 =205 -39   -6 Elo +/- 21   2666s      mean=0.491 LLR=-0.72 [CONTINUE]
 279 games  +34 =206 -39   -6 Elo +/- 21   2676s      mean=0.491 LLR=-0.72 [CONTINUE]
 280 games  +35 =206 -39   -5 Elo +/- 21   2677s      mean=0.493 LLR=-0.63 [CONTINUE]
 281 games  +35 =207 -39   -5 Elo +/- 21   2691s      mean=0.493 LLR=-0.63 [CONTINUE]
 282 games  +35 =208 -39   -5 Elo +/- 21   2700s      mean=0.493 LLR=-0.64 [CONTINUE]
 283 games  +35 =209 -39   -5 Elo +/- 21   2705s      mean=0.493 LLR=-0.64 [CONTINUE]
 284 games  +36 =209 -39   -4 Elo +/- 21   2718s      mean=0.495 LLR=-0.55 [CONTINUE]
 285 games  +36 =210 -39   -4 Elo +/- 21   2728s      mean=0.495 LLR=-0.55 [CONTINUE]
 286 games  +36 =211 -39   -4 Elo +/- 21   2733s      mean=0.495 LLR=-0.55 [CONTINUE]
 287 games  +36 =212 -39   -4 Elo +/- 21   2743s      mean=0.495 LLR=-0.56 [CONTINUE]
 288 games  +36 =213 -39   -4 Elo +/- 20   2756s      mean=0.495 LLR=-0.56 [CONTINUE]
 289 games  +36 =214 -39   -4 Elo +/- 20   2763s      mean=0.495 LLR=-0.56 [CONTINUE]
 290 games  +37 =214 -39   -2 Elo +/- 20   2773s      mean=0.497 LLR=-0.47 [CONTINUE]
 291 games  +37 =215 -39   -2 Elo +/- 20   2784s      mean=0.497 LLR=-0.47 [CONTINUE]
 292 games  +37 =216 -39   -2 Elo +/- 20   2789s      mean=0.497 LLR=-0.47 [CONTINUE]
 293 games  +37 =217 -39   -2 Elo +/- 20   2794s      mean=0.497 LLR=-0.48 [CONTINUE]
 294 games  +37 =218 -39   -2 Elo +/- 20   2805s      mean=0.497 LLR=-0.48 [CONTINUE]
 295 games  +37 =219 -39   -2 Elo +/- 20   2815s      mean=0.497 LLR=-0.48 [CONTINUE]
 296 games  +37 =220 -39   -2 Elo +/- 20   2821s      mean=0.497 LLR=-0.48 [CONTINUE]
 297 games  +37 =221 -39   -2 Elo +/- 20   2831s      mean=0.497 LLR=-0.49 [CONTINUE]
 298 games  +37 =222 -39   -2 Elo +/- 20   2840s      mean=0.497 LLR=-0.49 [CONTINUE]
 299 games  +37 =223 -39   -2 Elo +/- 20   2850s      mean=0.497 LLR=-0.49 [CONTINUE]
 300 games  +38 =223 -39   -1 Elo +/- 20   2859s      mean=0.498 LLR=-0.40 [CONTINUE]
 301 games  +38 =224 -39   -1 Elo +/- 20   2863s      mean=0.498 LLR=-0.40 [CONTINUE]
 302 games  +38 =225 -39   -1 Elo +/- 20   2875s      mean=0.498 LLR=-0.40 [CONTINUE]
 303 games  +38 =226 -39   -1 Elo +/- 20   2886s      mean=0.498 LLR=-0.41 [CONTINUE]
 304 games  +38 =226 -40   -2 Elo +/- 20   2892s      mean=0.497 LLR=-0.49 [CONTINUE]
 305 games  +38 =227 -40   -2 Elo +/- 20   2902s      mean=0.497 LLR=-0.50 [CONTINUE]
 306 games  +39 =227 -40   -1 Elo +/- 20   2914s      mean=0.498 LLR=-0.40 [CONTINUE]
 307 games  +40 =227 -40   -0 Elo +/- 20   2925s      mean=0.500 LLR=-0.31 [CONTINUE]
 308 games  +41 =227 -40   +1 Elo +/- 20   2932s      mean=0.502 LLR=-0.22 [CONTINUE]
 309 games  +41 =228 -40   +1 Elo +/- 20   2944s      mean=0.502 LLR=-0.22 [CONTINUE]
 310 games  +41 =229 -40   +1 Elo +/- 20   2948s      mean=0.502 LLR=-0.23 [CONTINUE]
 311 games  +41 =230 -40   +1 Elo +/- 20   2961s      mean=0.502 LLR=-0.23 [CONTINUE]
 312 games  +41 =231 -40   +1 Elo +/- 20   2970s      mean=0.502 LLR=-0.23 [CONTINUE]
 313 games  +41 =232 -40   +1 Elo +/- 20   2977s      mean=0.502 LLR=-0.23 [CONTINUE]
 314 games  +41 =233 -40   +1 Elo +/- 20   2984s      mean=0.502 LLR=-0.23 [CONTINUE]
 315 games  +41 =234 -40   +1 Elo +/- 19   2996s      mean=0.502 LLR=-0.24 [CONTINUE]
 316 games  +41 =235 -40   +1 Elo +/- 19   3003s      mean=0.502 LLR=-0.24 [CONTINUE]
 317 games  +41 =236 -40   +1 Elo +/- 19   3008s      mean=0.502 LLR=-0.24 [CONTINUE]
 318 games  +41 =237 -40   +1 Elo +/- 19   3024s      mean=0.502 LLR=-0.24 [CONTINUE]
 319 games  +41 =237 -41   -0 Elo +/- 19   3032s      mean=0.500 LLR=-0.33 [CONTINUE]
 320 games  +41 =238 -41   -0 Elo +/- 19   3037s      mean=0.500 LLR=-0.33 [CONTINUE]
 321 games  +41 =239 -41   -0 Elo +/- 19   3051s      mean=0.500 LLR=-0.33 [CONTINUE]
 322 games  +41 =240 -41   -0 Elo +/- 19   3058s      mean=0.500 LLR=-0.34 [CONTINUE]
 323 games  +41 =241 -41   -0 Elo +/- 19   3061s      mean=0.500 LLR=-0.34 [CONTINUE]
 324 games  +41 =242 -41   -0 Elo +/- 19   3080s      mean=0.500 LLR=-0.34 [CONTINUE]
 325 games  +41 =242 -42   -1 Elo +/- 19   3087s      mean=0.498 LLR=-0.43 [CONTINUE]
 326 games  +41 =243 -42   -1 Elo +/- 19   3088s      mean=0.498 LLR=-0.43 [CONTINUE]
 327 games  +41 =244 -42   -1 Elo +/- 19   3108s      mean=0.498 LLR=-0.43 [CONTINUE]
 328 games  +41 =245 -42   -1 Elo +/- 19   3109s      mean=0.498 LLR=-0.43 [CONTINUE]
 329 games  +42 =245 -42   -0 Elo +/- 19   3112s      mean=0.500 LLR=-0.34 [CONTINUE]
 330 games  +42 =246 -42   -0 Elo +/- 19   3136s      mean=0.500 LLR=-0.34 [CONTINUE]
 331 games  +43 =246 -42   +1 Elo +/- 19   3139s      mean=0.502 LLR=-0.25 [CONTINUE]
 332 games  +44 =246 -42   +2 Elo +/- 19   3144s      mean=0.503 LLR=-0.16 [CONTINUE]
 333 games  +44 =247 -42   +2 Elo +/- 19   3162s      mean=0.503 LLR=-0.16 [CONTINUE]
 334 games  +44 =248 -42   +2 Elo +/- 19   3171s      mean=0.503 LLR=-0.16 [CONTINUE]
 335 games  +44 =248 -43   +1 Elo +/- 19   3173s      mean=0.501 LLR=-0.25 [CONTINUE]
 336 games  +44 =248 -44   -0 Elo +/- 19   3192s      mean=0.500 LLR=-0.34 [CONTINUE]
 337 games  +44 =249 -44   -0 Elo +/- 19   3197s      mean=0.500 LLR=-0.34 [CONTINUE]
 338 games  +45 =249 -44   +1 Elo +/- 19   3202s      mean=0.501 LLR=-0.25 [CONTINUE]
 339 games  +45 =250 -44   +1 Elo +/- 19   3218s      mean=0.501 LLR=-0.25 [CONTINUE]
 340 games  +45 =251 -44   +1 Elo +/- 19   3220s      mean=0.501 LLR=-0.26 [CONTINUE]
 341 games  +45 =252 -44   +1 Elo +/- 19   3228s      mean=0.501 LLR=-0.26 [CONTINUE]
 342 games  +45 =253 -44   +1 Elo +/- 19   3249s      mean=0.501 LLR=-0.26 [CONTINUE]
 343 games  +46 =253 -44   +2 Elo +/- 19   3250s      mean=0.503 LLR=-0.17 [CONTINUE]
 344 games  +46 =253 -45   +1 Elo +/- 19   3257s      mean=0.501 LLR=-0.26 [CONTINUE]
 345 games  +46 =254 -45   +1 Elo +/- 19   3278s      mean=0.501 LLR=-0.26 [CONTINUE]
 346 games  +46 =255 -45   +1 Elo +/- 19   3281s      mean=0.501 LLR=-0.26 [CONTINUE]
 347 games  +46 =256 -45   +1 Elo +/- 19   3283s      mean=0.501 LLR=-0.26 [CONTINUE]
 348 games  +46 =257 -45   +1 Elo +/- 19   3302s      mean=0.501 LLR=-0.26 [CONTINUE]
 349 games  +46 =258 -45   +1 Elo +/- 19   3308s      mean=0.501 LLR=-0.27 [CONTINUE]
 350 games  +46 =258 -46   -0 Elo +/- 19   3314s      mean=0.500 LLR=-0.35 [CONTINUE]
 351 games  +46 =259 -46   -0 Elo +/- 19   3328s      mean=0.500 LLR=-0.35 [CONTINUE]
 352 games  +46 =260 -46   -0 Elo +/- 19   3331s      mean=0.500 LLR=-0.36 [CONTINUE]
 353 games  +47 =260 -46   +1 Elo +/- 19   3345s      mean=0.501 LLR=-0.27 [CONTINUE]
 354 games  +48 =260 -46   +2 Elo +/- 19   3355s      mean=0.503 LLR=-0.18 [CONTINUE]
 355 games  +48 =260 -47   +1 Elo +/- 19   3363s      mean=0.501 LLR=-0.27 [CONTINUE]
 356 games  +48 =261 -47   +1 Elo +/- 19   3369s      mean=0.501 LLR=-0.27 [CONTINUE]
 357 games  +48 =262 -47   +1 Elo +/- 19   3376s      mean=0.501 LLR=-0.27 [CONTINUE]
 358 games  +48 =263 -47   +1 Elo +/- 19   3394s      mean=0.501 LLR=-0.27 [CONTINUE]
 359 games  +48 =264 -47   +1 Elo +/- 19   3397s      mean=0.501 LLR=-0.27 [CONTINUE]
 360 games  +48 =265 -47   +1 Elo +/- 18   3403s      mean=0.501 LLR=-0.27 [CONTINUE]
 361 games  +48 =266 -47   +1 Elo +/- 18   3421s      mean=0.501 LLR=-0.28 [CONTINUE]
 362 games  +48 =267 -47   +1 Elo +/- 18   3424s      mean=0.501 LLR=-0.28 [CONTINUE]
 363 games  +48 =268 -47   +1 Elo +/- 18   3431s      mean=0.501 LLR=-0.28 [CONTINUE]
 364 games  +48 =269 -47   +1 Elo +/- 18   3446s      mean=0.501 LLR=-0.28 [CONTINUE]
 365 games  +48 =269 -48   -0 Elo +/- 18   3455s      mean=0.500 LLR=-0.37 [CONTINUE]
 366 games  +48 =270 -48   -0 Elo +/- 18   3464s      mean=0.500 LLR=-0.37 [CONTINUE]
 367 games  +48 =271 -48   -0 Elo +/- 18   3472s      mean=0.500 LLR=-0.37 [CONTINUE]
 368 games  +48 =272 -48   -0 Elo +/- 18   3481s      mean=0.500 LLR=-0.37 [CONTINUE]
 369 games  +48 =273 -48   -0 Elo +/- 18   3492s      mean=0.500 LLR=-0.38 [CONTINUE]
 370 games  +48 =273 -49   -1 Elo +/- 18   3500s      mean=0.499 LLR=-0.46 [CONTINUE]
 371 games  +49 =273 -49   -0 Elo +/- 18   3510s      mean=0.500 LLR=-0.37 [CONTINUE]
 372 games  +49 =274 -49   -0 Elo +/- 18   3518s      mean=0.500 LLR=-0.37 [CONTINUE]
 373 games  +50 =274 -49   +1 Elo +/- 18   3530s      mean=0.501 LLR=-0.29 [CONTINUE]
 374 games  +50 =275 -49   +1 Elo +/- 18   3544s      mean=0.501 LLR=-0.29 [CONTINUE]
 375 games  +50 =276 -49   +1 Elo +/- 18   3546s      mean=0.501 LLR=-0.29 [CONTINUE]
 376 games  +50 =277 -49   +1 Elo +/- 18   3561s      mean=0.501 LLR=-0.29 [CONTINUE]
 377 games  +50 =278 -49   +1 Elo +/- 18   3572s      mean=0.501 LLR=-0.29 [CONTINUE]
 378 games  +50 =279 -49   +1 Elo +/- 18   3573s      mean=0.501 LLR=-0.29 [CONTINUE]
 379 games  +50 =280 -49   +1 Elo +/- 18   3591s      mean=0.501 LLR=-0.30 [CONTINUE]
 380 games  +50 =281 -49   +1 Elo +/- 18   3598s      mean=0.501 LLR=-0.30 [CONTINUE]
 381 games  +50 =282 -49   +1 Elo +/- 18   3599s      mean=0.501 LLR=-0.30 [CONTINUE]
 382 games  +50 =283 -49   +1 Elo +/- 18   3615s      mean=0.501 LLR=-0.30 [CONTINUE]
 383 games  +50 =284 -49   +1 Elo +/- 18   3629s      mean=0.501 LLR=-0.30 [CONTINUE]
 384 games  +50 =284 -50   -0 Elo +/- 18   3632s      mean=0.500 LLR=-0.39 [CONTINUE]
 385 games  +50 =285 -50   -0 Elo +/- 18   3641s      mean=0.500 LLR=-0.39 [CONTINUE]
 386 games  +50 =286 -50   -0 Elo +/- 18   3652s      mean=0.500 LLR=-0.39 [CONTINUE]
 387 games  +50 =287 -50   -0 Elo +/- 18   3659s      mean=0.500 LLR=-0.40 [CONTINUE]
 388 games  +50 =287 -51   -1 Elo +/- 18   3671s      mean=0.499 LLR=-0.48 [CONTINUE]
 389 games  +50 =288 -51   -1 Elo +/- 18   3677s      mean=0.499 LLR=-0.49 [CONTINUE]
 390 games  +50 =289 -51   -1 Elo +/- 18   3686s      mean=0.499 LLR=-0.49 [CONTINUE]
 391 games  +50 =290 -51   -1 Elo +/- 18   3701s      mean=0.499 LLR=-0.49 [CONTINUE]
 392 games  +50 =291 -51   -1 Elo +/- 17   3703s      mean=0.499 LLR=-0.49 [CONTINUE]
 393 games  +51 =291 -51   -0 Elo +/- 18   3712s      mean=0.500 LLR=-0.40 [CONTINUE]
 394 games  +51 =292 -51   -0 Elo +/- 17   3727s      mean=0.500 LLR=-0.40 [CONTINUE]
 395 games  +51 =293 -51   -0 Elo +/- 17   3729s      mean=0.500 LLR=-0.41 [CONTINUE]
 396 games  +51 =294 -51   -0 Elo +/- 17   3743s      mean=0.500 LLR=-0.41 [CONTINUE]
 397 games  +51 =295 -51   -0 Elo +/- 17   3748s      mean=0.500 LLR=-0.41 [CONTINUE]
 398 games  +51 =296 -51   -0 Elo +/- 17   3757s      mean=0.500 LLR=-0.41 [CONTINUE]
 399 games  +51 =297 -51   -0 Elo +/- 17   3769s      mean=0.500 LLR=-0.41 [CONTINUE]
 400 games  +52 =297 -51   +1 Elo +/- 17   3772s      mean=0.501 LLR=-0.32 [CONTINUE]
 401 games  +52 =298 -51   +1 Elo +/- 17   3786s      mean=0.501 LLR=-0.32 [CONTINUE]
 402 games  +52 =299 -51   +1 Elo +/- 17   3800s      mean=0.501 LLR=-0.33 [CONTINUE]
 403 games  +53 =299 -51   +2 Elo +/- 17   3803s      mean=0.502 LLR=-0.24 [CONTINUE]
 404 games  +53 =300 -51   +2 Elo +/- 17   3809s      mean=0.502 LLR=-0.24 [CONTINUE]
 405 games  +53 =301 -51   +2 Elo +/- 17   3826s      mean=0.502 LLR=-0.24 [CONTINUE]
 406 games  +53 =302 -51   +2 Elo +/- 17   3826s      mean=0.502 LLR=-0.24 [CONTINUE]
 407 games  +53 =303 -51   +2 Elo +/- 17   3837s      mean=0.502 LLR=-0.24 [CONTINUE]
 408 games  +53 =304 -51   +2 Elo +/- 17   3856s      mean=0.502 LLR=-0.24 [CONTINUE]
 409 games  +53 =305 -51   +2 Elo +/- 17   3859s      mean=0.502 LLR=-0.25 [CONTINUE]
 410 games  +53 =306 -51   +2 Elo +/- 17   3873s      mean=0.502 LLR=-0.25 [CONTINUE]
 411 games  +53 =307 -51   +2 Elo +/- 17   3886s      mean=0.502 LLR=-0.25 [CONTINUE]
 412 games  +53 =307 -52   +1 Elo +/- 17   3890s      mean=0.501 LLR=-0.34 [CONTINUE]
 413 games  +53 =308 -52   +1 Elo +/- 17   3897s      mean=0.501 LLR=-0.34 [CONTINUE]
 414 games  +53 =309 -52   +1 Elo +/- 17   3913s      mean=0.501 LLR=-0.34 [CONTINUE]
 415 games  +53 =310 -52   +1 Elo +/- 17   3915s      mean=0.501 LLR=-0.34 [CONTINUE]
 416 games  +54 =310 -52   +2 Elo +/- 17   3927s      mean=0.502 LLR=-0.25 [CONTINUE]
 417 games  +54 =311 -52   +2 Elo +/- 17   3939s      mean=0.502 LLR=-0.25 [CONTINUE]
 418 games  +54 =312 -52   +2 Elo +/- 17   3939s      mean=0.502 LLR=-0.26 [CONTINUE]
 419 games  +54 =313 -52   +2 Elo +/- 17   3959s      mean=0.502 LLR=-0.26 [CONTINUE]
 420 games  +54 =314 -52   +2 Elo +/- 17   3965s      mean=0.502 LLR=-0.26 [CONTINUE]
 421 games  +55 =314 -52   +2 Elo +/- 17   3966s      mean=0.504 LLR=-0.17 [CONTINUE]
 422 games  +55 =315 -52   +2 Elo +/- 17   3989s      mean=0.504 LLR=-0.17 [CONTINUE]
 423 games  +55 =315 -53   +2 Elo +/- 17   3990s      mean=0.502 LLR=-0.26 [CONTINUE]
 424 games  +55 =316 -53   +2 Elo +/- 17   3995s      mean=0.502 LLR=-0.26 [CONTINUE]
 425 games  +55 =317 -53   +2 Elo +/- 17   4015s      mean=0.502 LLR=-0.26 [CONTINUE]
 426 games  +55 =318 -53   +2 Elo +/- 17   4021s      mean=0.502 LLR=-0.26 [CONTINUE]
 427 games  +55 =319 -53   +2 Elo +/- 17   4025s      mean=0.502 LLR=-0.27 [CONTINUE]
 428 games  +55 =320 -53   +2 Elo +/- 17   4039s      mean=0.502 LLR=-0.27 [CONTINUE]
 429 games  +55 =321 -53   +2 Elo +/- 17   4052s      mean=0.502 LLR=-0.27 [CONTINUE]
 430 games  +55 =322 -53   +2 Elo +/- 16   4054s      mean=0.502 LLR=-0.27 [CONTINUE]
 431 games  +55 =323 -53   +2 Elo +/- 16   4065s      mean=0.502 LLR=-0.27 [CONTINUE]
 432 games  +55 =324 -53   +2 Elo +/- 16   4079s      mean=0.502 LLR=-0.27 [CONTINUE]
 433 games  +55 =325 -53   +2 Elo +/- 16   4081s      mean=0.502 LLR=-0.28 [CONTINUE]
 434 games  +55 =325 -54   +1 Elo +/- 16   4094s      mean=0.501 LLR=-0.37 [CONTINUE]
 435 games  +55 =326 -54   +1 Elo +/- 16   4104s      mean=0.501 LLR=-0.37 [CONTINUE]
 436 games  +55 =326 -55   -0 Elo +/- 16   4108s      mean=0.500 LLR=-0.46 [CONTINUE]
 437 games  +55 =327 -55   -0 Elo +/- 16   4118s      mean=0.500 LLR=-0.46 [CONTINUE]
 438 games  +55 =328 -55   -0 Elo +/- 16   4129s      mean=0.500 LLR=-0.46 [CONTINUE]
 439 games  +55 =329 -55   -0 Elo +/- 16   4134s      mean=0.500 LLR=-0.46 [CONTINUE]
 440 games  +55 =330 -55   -0 Elo +/- 16   4143s      mean=0.500 LLR=-0.47 [CONTINUE]
 441 games  +55 =331 -55   -0 Elo +/- 16   4154s      mean=0.500 LLR=-0.47 [CONTINUE]
 442 games  +55 =332 -55   -0 Elo +/- 16   4155s      mean=0.500 LLR=-0.47 [CONTINUE]
 443 games  +55 =333 -55   -0 Elo +/- 16   4168s      mean=0.500 LLR=-0.47 [CONTINUE]
 444 games  +55 =334 -55   -0 Elo +/- 16   4178s      mean=0.500 LLR=-0.47 [CONTINUE]
 445 games  +55 =334 -56   -1 Elo +/- 16   4182s      mean=0.499 LLR=-0.57 [CONTINUE]
 446 games  +55 =334 -57   -2 Elo +/- 16   4196s      mean=0.498 LLR=-0.65 [CONTINUE]
 447 games  +55 =335 -57   -2 Elo +/- 16   4208s      mean=0.498 LLR=-0.66 [CONTINUE]
 448 games  +55 =336 -57   -2 Elo +/- 16   4208s      mean=0.498 LLR=-0.66 [CONTINUE]
 449 games  +55 =337 -57   -2 Elo +/- 16   4224s      mean=0.498 LLR=-0.66 [CONTINUE]
 450 games  +55 =337 -58   -2 Elo +/- 16   4237s      mean=0.497 LLR=-0.75 [CONTINUE]
 451 games  +55 =338 -58   -2 Elo +/- 16   4238s      mean=0.497 LLR=-0.75 [CONTINUE]
 452 games  +56 =338 -58   -2 Elo +/- 16   4249s      mean=0.498 LLR=-0.66 [CONTINUE]
 453 games  +56 =339 -58   -2 Elo +/- 16   4265s      mean=0.498 LLR=-0.66 [CONTINUE]
 454 games  +56 =340 -58   -2 Elo +/- 16   4267s      mean=0.498 LLR=-0.66 [CONTINUE]
 455 games  +56 =341 -58   -2 Elo +/- 16   4283s      mean=0.498 LLR=-0.67 [CONTINUE]
 456 games  +56 =342 -58   -2 Elo +/- 16   4294s      mean=0.498 LLR=-0.67 [CONTINUE]
 457 games  +56 =342 -59   -2 Elo +/- 16   4296s      mean=0.497 LLR=-0.76 [CONTINUE]
 458 games  +56 =343 -59   -2 Elo +/- 16   4308s      mean=0.497 LLR=-0.76 [CONTINUE]
 459 games  +56 =344 -59   -2 Elo +/- 16   4323s      mean=0.497 LLR=-0.76 [CONTINUE]
 460 games  +56 =345 -59   -2 Elo +/- 16   4324s      mean=0.497 LLR=-0.76 [CONTINUE]
 461 games  +56 =346 -59   -2 Elo +/- 16   4337s      mean=0.497 LLR=-0.77 [CONTINUE]
 462 games  +56 =347 -59   -2 Elo +/- 16   4350s      mean=0.497 LLR=-0.77 [CONTINUE]
 463 games  +56 =348 -59   -2 Elo +/- 16   4351s      mean=0.497 LLR=-0.77 [CONTINUE]
 464 games  +56 =349 -59   -2 Elo +/- 16   4369s      mean=0.497 LLR=-0.77 [CONTINUE]
 465 games  +56 =350 -59   -2 Elo +/- 16   4377s      mean=0.497 LLR=-0.78 [CONTINUE]
 466 games  +56 =351 -59   -2 Elo +/- 16   4378s      mean=0.497 LLR=-0.78 [CONTINUE]
 467 games  +56 =352 -59   -2 Elo +/- 16   4394s      mean=0.497 LLR=-0.78 [CONTINUE]
 468 games  +56 =353 -59   -2 Elo +/- 16   4400s      mean=0.497 LLR=-0.79 [CONTINUE]
 469 games  +57 =353 -59   -1 Elo +/- 16   4409s      mean=0.498 LLR=-0.69 [CONTINUE]
 470 games  +58 =353 -59   -1 Elo +/- 16   4424s      mean=0.499 LLR=-0.59 [CONTINUE]
 471 games  +58 =354 -59   -1 Elo +/- 16   4433s      mean=0.499 LLR=-0.60 [CONTINUE]
 472 games  +58 =355 -59   -1 Elo +/- 16   4435s      mean=0.499 LLR=-0.60 [CONTINUE]
 473 games  +58 =356 -59   -1 Elo +/- 16   4452s      mean=0.499 LLR=-0.60 [CONTINUE]
 474 games  +58 =356 -60   -1 Elo +/- 16   4463s      mean=0.498 LLR=-0.69 [CONTINUE]
 475 games  +58 =356 -61   -2 Elo +/- 16   4467s      mean=0.497 LLR=-0.78 [CONTINUE]
 476 games  +59 =356 -61   -1 Elo +/- 16   4479s      mean=0.498 LLR=-0.68 [CONTINUE]
 477 games  +60 =356 -61   -1 Elo +/- 16   4491s      mean=0.499 LLR=-0.59 [CONTINUE]
 478 games  +60 =357 -61   -1 Elo +/- 16   4498s      mean=0.499 LLR=-0.59 [CONTINUE]
 479 games  +60 =358 -61   -1 Elo +/- 16   4506s      mean=0.499 LLR=-0.59 [CONTINUE]
 480 games  +60 =359 -61   -1 Elo +/- 16   4522s      mean=0.499 LLR=-0.60 [CONTINUE]
 481 games  +60 =360 -61   -1 Elo +/- 16   4523s      mean=0.499 LLR=-0.60 [CONTINUE]
 482 games  +60 =361 -61   -1 Elo +/- 16   4532s      mean=0.499 LLR=-0.60 [CONTINUE]
 483 games  +60 =362 -61   -1 Elo +/- 16   4548s      mean=0.499 LLR=-0.60 [CONTINUE]
 484 games  +60 =363 -61   -1 Elo +/- 15   4553s      mean=0.499 LLR=-0.61 [CONTINUE]
 485 games  +60 =364 -61   -1 Elo +/- 15   4556s      mean=0.499 LLR=-0.61 [CONTINUE]
 486 games  +60 =364 -62   -1 Elo +/- 15   4574s      mean=0.498 LLR=-0.70 [CONTINUE]
 487 games  +61 =364 -62   -1 Elo +/- 16   4580s      mean=0.499 LLR=-0.60 [CONTINUE]
 488 games  +61 =365 -62   -1 Elo +/- 15   4580s      mean=0.499 LLR=-0.60 [CONTINUE]
 489 games  +61 =366 -62   -1 Elo +/- 15   4603s      mean=0.499 LLR=-0.61 [CONTINUE]
 490 games  +61 =366 -63   -1 Elo +/- 15   4605s      mean=0.498 LLR=-0.70 [CONTINUE]
 491 games  +62 =366 -63   -1 Elo +/- 16   4609s      mean=0.499 LLR=-0.60 [CONTINUE]
 492 games  +62 =367 -63   -1 Elo +/- 15   4626s      mean=0.499 LLR=-0.60 [CONTINUE]
 493 games  +62 =368 -63   -1 Elo +/- 15   4628s      mean=0.499 LLR=-0.61 [CONTINUE]
 494 games  +63 =368 -63   -0 Elo +/- 15   4638s      mean=0.500 LLR=-0.51 [CONTINUE]
 495 games  +63 =369 -63   -0 Elo +/- 15   4646s      mean=0.500 LLR=-0.52 [CONTINUE]
 496 games  +63 =370 -63   -0 Elo +/- 15   4658s      mean=0.500 LLR=-0.52 [CONTINUE]
 497 games  +63 =370 -64   -1 Elo +/- 15   4674s      mean=0.499 LLR=-0.61 [CONTINUE]
 498 games  +63 =371 -64   -1 Elo +/- 15   4675s      mean=0.499 LLR=-0.61 [CONTINUE]
 499 games  +63 =371 -65   -1 Elo +/- 15   4684s      mean=0.498 LLR=-0.70 [CONTINUE]
 500 games  +63 =372 -65   -1 Elo +/- 15   4698s      mean=0.498 LLR=-0.70 [CONTINUE]
 501 games  +63 =373 -65   -1 Elo +/- 15   4700s      mean=0.498 LLR=-0.70 [CONTINUE]
 502 games  +63 =374 -65   -1 Elo +/- 15   4706s      mean=0.498 LLR=-0.70 [CONTINUE]
 503 games  +63 =374 -66   -2 Elo +/- 15   4722s      mean=0.497 LLR=-0.79 [CONTINUE]
 504 games  +63 =375 -66   -2 Elo +/- 15   4730s      mean=0.497 LLR=-0.79 [CONTINUE]
